sku_id,product_name,brand,category,subcategory,base_price,quality_score,price_tier,overpriced_flag,weak_listing_flag
NPA-0023,NorthPeak Athletics SunCore Swimwear,NorthPeak Athletics,Sports & Outdoor,Swimwear,622.0,0.856,Mid-Market,True,False
NPA-0024,NorthPeak Athletics Minimal Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,874.0,0.558,Mid-Market,False,False
NPA-0025,NorthPeak Athletics CloudSoft Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,533.0,0.522,Mid-Market,True,False
NPA-0026,NorthPeak Athletics Featherweight Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,620.0,0.739,Mid-Market,False,False
NPA-0027,NorthPeak Athletics Classic Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,320.0,0.675,Value,False,False
NPA-0028,NorthPeak Athletics New Season Training Pants,NorthPeak Athletics,Sports & Outdoor,Training Pants,723.0,0.58,Mid-Market,False,False
NPA-0029,NorthPeak Athletics Everyday Shell Jacket,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,597.0,0.804,Mid-Market,False,False
NPA-0030,NorthPeak Athletics Comfort Fit Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,901.0,0.512,Mid-Market,False,False
NPA-0031,NorthPeak Athletics Urban Training Pants,NorthPeak Athletics,Sports & Outdoor,Training Pants,383.0,0.777,Value,False,False
NPA-0032,NorthPeak Athletics Lumen Training Shoes,NorthPeak Athletics,Sports & Outdoor,Training Shoes,370.0,0.507,Value,False,False
NPA-0033,NorthPeak Athletics Breathable Swimwear,NorthPeak Athletics,Sports & Outdoor,Swimwear,1226.0,0.608,Premium,False,False
NPA-0034,NorthPeak Athletics GripPro Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,323.0,0.563,Value,True,False
NPA-0035,NorthPeak Athletics CushionFlex Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,541.0,0.422,Mid-Market,True,False
NPA-0036,NorthPeak Athletics Trail Ready Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,405.0,0.378,Value,True,True
NPA-0037,NorthPeak Athletics Limited Outdoor Sandals,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,1113.0,0.254,Premium,False,False
NPA-0038,NorthPeak Athletics Vintage Yoga Set,NorthPeak Athletics,Sports & Outdoor,Yoga Set,1236.0,0.797,Premium,False,False
NPA-0039,NorthPeak Athletics TechFeel Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,783.0,0.693,Mid-Market,False,False
NPA-0040,NorthPeak Athletics Durable Training Shoes,NorthPeak Athletics,Sports & Outdoor,Training Shoes,316.0,0.302,Value,False,True
NPA-0041,NorthPeak Athletics AirLite Yoga Set,NorthPeak Athletics,Sports & Outdoor,Yoga Set,361.0,0.678,Value,False,False
NPA-0042,NorthPeak Athletics Breeze Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,323.0,0.509,Value,False,False
NPA-0043,NorthPeak Athletics SunCore Training Pants,NorthPeak Athletics,Sports & Outdoor,Training Pants,539.0,0.618,Mid-Market,False,False
NPA-0044,NorthPeak Athletics Minimal Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,891.0,0.481,Mid-Market,False,False
NPA-0045,NorthPeak Athletics CloudSoft Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,478.0,0.439,Value,True,False
NPA-0046,NorthPeak Athletics Featherweight Training Pants,NorthPeak Athletics,Sports & Outdoor,Training Pants,1197.0,0.511,Premium,False,False
NPA-0047,NorthPeak Athletics Classic Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,672.0,0.449,Mid-Market,False,False
NPA-0048,NorthPeak Athletics New Season Swimwear,NorthPeak Athletics,Sports & Outdoor,Swimwear,569.0,0.724,Mid-Market,False,False
NPA-0049,NorthPeak Athletics Everyday Swimwear,NorthPeak Athletics,Sports & Outdoor,Swimwear,498.0,0.654,Value,True,False
NPA-0050,NorthPeak Athletics Comfort Fit Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,642.0,0.587,Mid-Market,False,False
NPA-0051,NorthPeak Athletics Urban Training Pants,NorthPeak Athletics,Sports & Outdoor,Training Pants,551.0,0.614,Mid-Market,False,False
NPA-0052,NorthPeak Athletics Lumen Yoga Set,NorthPeak Athletics,Sports & Outdoor,Yoga Set,767.0,0.801,Mid-Market,True,True
NPA-0053,NorthPeak Athletics Breathable Outdoor Sandals,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,1058.0,0.67,Premium,False,False
NPA-0054,NorthPeak Athletics GripPro Outdoor Sandals,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,692.0,0.758,Mid-Market,False,True
NPA-0055,NorthPeak Athletics CushionFlex Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,238.0,0.616,Value,False,False
NPA-0056,NorthPeak Athletics Trail Ready Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,1000.0,0.62,Premium,False,True
NPA-0057,NorthPeak Athletics Limited Swimwear,NorthPeak Athletics,Sports & Outdoor,Swimwear,902.0,0.647,Mid-Market,False,False
NPA-0058,NorthPeak Athletics Vintage Shell Jacket,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,931.0,0.371,Premium,False,False
NPA-0059,NorthPeak Athletics TechFeel Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,352.0,0.284,Value,False,False
NPA-0060,NorthPeak Athletics Durable Training Shoes,NorthPeak Athletics,Sports & Outdoor,Training Shoes,1178.0,0.489,Premium,False,False
NPA-0061,NorthPeak Athletics AirLite Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,931.0,0.906,Premium,True,False
NPA-0062,NorthPeak Athletics Breeze Training Shoes,NorthPeak Athletics,Sports & Outdoor,Training Shoes,1094.0,0.64,Premium,False,False
NPA-0063,NorthPeak Athletics SunCore Swimwear,NorthPeak Athletics,Sports & Outdoor,Swimwear,1009.0,0.63,Premium,False,False
NPA-0064,NorthPeak Athletics Minimal Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,667.0,0.578,Mid-Market,True,False
NPA-0065,NorthPeak Athletics CloudSoft Shell Jacket,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,745.0,0.756,Mid-Market,False,False
NPA-0066,NorthPeak Athletics Featherweight Yoga Set,NorthPeak Athletics,Sports & Outdoor,Yoga Set,204.0,0.526,Value,False,False
NPA-0067,NorthPeak Athletics Classic Down Jacket,NorthPeak Athletics,Sports & Outdoor,Down Jacket,831.0,0.828,Mid-Market,False,False
NPA-0068,NorthPeak Athletics New Season Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,656.0,0.42,Mid-Market,False,False
NPA-0069,NorthPeak Athletics Everyday Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,1096.0,0.796,Premium,False,False
NPA-0070,NorthPeak Athletics Comfort Fit Shell Jacket,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,351.0,0.697,Value,False,False
NPA-0071,NorthPeak Athletics Urban Yoga Set,NorthPeak Athletics,Sports & Outdoor,Yoga Set,560.0,0.791,Mid-Market,False,False
NPA-0072,NorthPeak Athletics Lumen Yoga Set,NorthPeak Athletics,Sports & Outdoor,Yoga Set,268.0,0.656,Value,False,False
NPA-0073,NorthPeak Athletics Breathable Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,282.0,0.273,Value,False,False
NPA-0074,NorthPeak Athletics GripPro Outdoor Sandals,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,622.0,0.752,Mid-Market,False,False
NPA-0075,NorthPeak Athletics CushionFlex Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,790.0,0.73,Mid-Market,False,False
NPA-0076,NorthPeak Athletics Trail Ready Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,578.0,0.764,Mid-Market,False,False
NPA-0077,NorthPeak Athletics Limited Yoga Set,NorthPeak Athletics,Sports & Outdoor,Yoga Set,280.0,0.877,Value,False,False
NPA-0078,NorthPeak Athletics Vintage Outdoor Sandals,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,957.0,0.686,Premium,False,False
NPA-0079,NorthPeak Athletics TechFeel Swimwear,NorthPeak Athletics,Sports & Outdoor,Swimwear,887.0,0.628,Mid-Market,False,False
NPA-0080,NorthPeak Athletics Durable Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,724.0,0.79,Mid-Market,False,True
NPA-0081,NorthPeak Athletics AirLite Sports Backpack,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,734.0,0.609,Mid-Market,True,False
NPA-0082,NorthPeak Athletics Breeze Shell Jacket,NorthPeak Athletics,Sports & Outdoor,Shell Jacket,822.0,0.291,Mid-Market,False,False
NPA-0083,NorthPeak Athletics SunCore Outdoor Sandals,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,962.0,0.486,Premium,False,False
NPA-0084,NorthPeak Athletics Minimal Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,968.0,0.601,Premium,False,False
NPA-0085,NorthPeak Athletics CloudSoft Quick-Dry Tee,NorthPeak Athletics,Sports & Outdoor,Quick-Dry Tee,667.0,0.563,Mid-Market,False,False
NPA-0086,NorthPeak Athletics Featherweight Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,446.0,0.878,Value,False,False
NPA-0087,NorthPeak Athletics Classic Swimwear,NorthPeak Athletics,Sports & Outdoor,Swimwear,574.0,0.397,Mid-Market,False,False
NPA-0088,NorthPeak Athletics New Season Hiking Shoes,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,873.0,0.291,Mid-Market,False,False
NPA-0089,NorthPeak Athletics Everyday Yoga Set,NorthPeak Athletics,Sports & Outdoor,Yoga Set,823.0,0.473,Mid-Market,False,False
NPA-0090,NorthPeak Athletics Comfort Fit Training Shoes,NorthPeak Athletics,Sports & Outdoor,Training Shoes,275.0,0.576,Value,False,False
SSW-0001,Strive Sportswear AirLite Yoga Set,Strive Sportswear,Sports & Outdoor,Yoga Set,244.0,0.456,Value,False,False
SSW-0002,Strive Sportswear Breeze Sports Backpack,Strive Sportswear,Sports & Outdoor,Sports Backpack,671.0,0.72,Mid-Market,False,True
SSW-0003,Strive Sportswear SunCore Down Jacket,Strive Sportswear,Sports & Outdoor,Down Jacket,1096.0,0.615,Premium,False,False
SSW-0004,Strive Sportswear Minimal Yoga Set,Strive Sportswear,Sports & Outdoor,Yoga Set,1005.0,0.508,Premium,True,False
SSW-0005,Strive Sportswear CloudSoft Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,511.0,0.569,Mid-Market,False,False
SSW-0006,Strive Sportswear Featherweight Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,968.0,0.848,Premium,False,False
SSW-0007,Strive Sportswear Classic Down Jacket,Strive Sportswear,Sports & Outdoor,Down Jacket,340.0,0.46,Value,False,False
SSW-0008,Strive Sportswear New Season Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,555.0,0.233,Mid-Market,False,False
SSW-0009,Strive Sportswear Everyday Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,566.0,0.444,Mid-Market,False,False
SSW-0010,Strive Sportswear Comfort Fit Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,424.0,0.647,Value,False,False
SSW-0011,Strive Sportswear Urban Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,450.0,0.405,Value,False,False
SSW-0012,Strive Sportswear Lumen Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,406.0,0.543,Value,False,True
SSW-0013,Strive Sportswear Breathable Shell Jacket,Strive Sportswear,Sports & Outdoor,Shell Jacket,431.0,0.704,Value,False,False
SSW-0014,Strive Sportswear GripPro Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,1139.0,0.534,Premium,False,False
SSW-0015,Strive Sportswear CushionFlex Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,252.0,0.51,Value,True,False
SSW-0016,Strive Sportswear Trail Ready Swimwear,Strive Sportswear,Sports & Outdoor,Swimwear,268.0,0.474,Value,False,False
SSW-0017,Strive Sportswear Limited Yoga Set,Strive Sportswear,Sports & Outdoor,Yoga Set,596.0,0.799,Mid-Market,False,False
SSW-0018,Strive Sportswear Vintage Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,642.0,0.786,Mid-Market,True,False
SSW-0019,Strive Sportswear TechFeel Swimwear,Strive Sportswear,Sports & Outdoor,Swimwear,1193.0,0.88,Premium,False,False
SSW-0020,Strive Sportswear Durable Swimwear,Strive Sportswear,Sports & Outdoor,Swimwear,722.0,0.683,Mid-Market,False,False
SSW-0021,Strive Sportswear AirLite Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,554.0,0.479,Mid-Market,False,False
SSW-0022,Strive Sportswear Breeze Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,521.0,0.801,Mid-Market,False,False
SSW-0023,Strive Sportswear SunCore Down Jacket,Strive Sportswear,Sports & Outdoor,Down Jacket,361.0,0.768,Value,False,False
SSW-0024,Strive Sportswear Minimal Training Shoes,Strive Sportswear,Sports & Outdoor,Training Shoes,369.0,0.607,Value,True,False
SSW-0025,Strive Sportswear CloudSoft Shell Jacket,Strive Sportswear,Sports & Outdoor,Shell Jacket,410.0,0.559,Value,False,False
SSW-0026,Strive Sportswear Featherweight Shell Jacket,Strive Sportswear,Sports & Outdoor,Shell Jacket,588.0,0.453,Mid-Market,False,False
SSW-0027,Strive Sportswear Classic Down Jacket,Strive Sportswear,Sports & Outdoor,Down Jacket,801.0,0.583,Mid-Market,False,False
SSW-0028,Strive Sportswear New Season Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,570.0,0.59,Mid-Market,False,False
SSW-0029,Strive Sportswear Everyday Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,816.0,0.625,Mid-Market,True,False
SSW-0030,Strive Sportswear Comfort Fit Swimwear,Strive Sportswear,Sports & Outdoor,Swimwear,958.0,0.663,Premium,False,True
SSW-0031,Strive Sportswear Urban Training Shoes,Strive Sportswear,Sports & Outdoor,Training Shoes,612.0,0.757,Mid-Market,False,True
SSW-0032,Strive Sportswear Lumen Sports Backpack,Strive Sportswear,Sports & Outdoor,Sports Backpack,805.0,0.41,Mid-Market,False,False
SSW-0033,Strive Sportswear Breathable Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,845.0,0.645,Mid-Market,False,False
SSW-0034,Strive Sportswear GripPro Swimwear,Strive Sportswear,Sports & Outdoor,Swimwear,1117.0,0.466,Premium,False,False
SSW-0035,Strive Sportswear CushionFlex Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,279.0,0.658,Value,False,True
SSW-0036,Strive Sportswear Trail Ready Yoga Set,Strive Sportswear,Sports & Outdoor,Yoga Set,569.0,0.61,Mid-Market,False,False
SSW-0037,Strive Sportswear Limited Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,709.0,0.529,Mid-Market,False,False
SSW-0038,Strive Sportswear Vintage Hiking Shoes,Strive Sportswear,Sports & Outdoor,Hiking Shoes,574.0,0.589,Mid-Market,False,False
SSW-0039,Strive Sportswear TechFeel Swimwear,Strive Sportswear,Sports & Outdoor,Swimwear,1158.0,0.768,Premium,False,False
SSW-0040,Strive Sportswear Durable Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,436.0,0.575,Value,False,False
SSW-0041,Strive Sportswear AirLite Shell Jacket,Strive Sportswear,Sports & Outdoor,Shell Jacket,939.0,0.368,Premium,True,False
SSW-0042,Strive Sportswear Breeze Training Shoes,Strive Sportswear,Sports & Outdoor,Training Shoes,523.0,0.755,Mid-Market,False,False
SSW-0043,Strive Sportswear SunCore Training Shoes,Strive Sportswear,Sports & Outdoor,Training Shoes,396.0,0.675,Value,True,False
SSW-0044,Strive Sportswear Minimal Swimwear,Strive Sportswear,Sports & Outdoor,Swimwear,394.0,0.511,Value,False,False
SSW-0045,Strive Sportswear CloudSoft Training Shoes,Strive Sportswear,Sports & Outdoor,Training Shoes,1096.0,0.49,Premium,False,False
SSW-0046,Strive Sportswear Featherweight Swimwear,Strive Sportswear,Sports & Outdoor,Swimwear,1154.0,0.571,Premium,True,False
SSW-0047,Strive Sportswear Classic Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,1140.0,0.546,Premium,False,True
SSW-0048,Strive Sportswear New Season Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,381.0,0.51,Value,False,False
SSW-0049,Strive Sportswear Everyday Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,381.0,0.606,Value,False,True
SSW-0050,Strive Sportswear Comfort Fit Shell Jacket,Strive Sportswear,Sports & Outdoor,Shell Jacket,516.0,0.818,Mid-Market,False,False
SSW-0051,Strive Sportswear Urban Shell Jacket,Strive Sportswear,Sports & Outdoor,Shell Jacket,196.0,0.733,Value,False,False
SSW-0052,Strive Sportswear Lumen Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,996.0,0.748,Premium,False,False
SSW-0053,Strive Sportswear Breathable Yoga Set,Strive Sportswear,Sports & Outdoor,Yoga Set,723.0,0.883,Mid-Market,False,False
SSW-0054,Strive Sportswear GripPro Hiking Shoes,Strive Sportswear,Sports & Outdoor,Hiking Shoes,633.0,0.622,Mid-Market,False,False
SSW-0055,Strive Sportswear CushionFlex Yoga Set,Strive Sportswear,Sports & Outdoor,Yoga Set,386.0,0.66,Value,False,False
SSW-0056,Strive Sportswear Trail Ready Hiking Shoes,Strive Sportswear,Sports & Outdoor,Hiking Shoes,1115.0,0.626,Premium,False,False
SSW-0057,Strive Sportswear Limited Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,533.0,0.656,Mid-Market,True,False
SSW-0058,Strive Sportswear Vintage Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,587.0,0.71,Mid-Market,False,False
SSW-0059,Strive Sportswear TechFeel Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,400.0,0.525,Value,False,False
SSW-0060,Strive Sportswear Durable Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,896.0,0.454,Premium,False,False
SSW-0061,Strive Sportswear AirLite Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,523.0,0.663,Mid-Market,False,True
SSW-0062,Strive Sportswear Breeze Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,775.0,0.779,Mid-Market,False,False
SSW-0063,Strive Sportswear SunCore Training Shoes,Strive Sportswear,Sports & Outdoor,Training Shoes,864.0,0.419,Premium,False,False
SSW-0064,Strive Sportswear Minimal Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,874.0,0.612,Premium,False,False
SSW-0065,Strive Sportswear CloudSoft Down Jacket,Strive Sportswear,Sports & Outdoor,Down Jacket,521.0,0.445,Mid-Market,True,False
SSW-0066,Strive Sportswear Featherweight Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,244.0,0.605,Value,False,False
SSW-0067,Strive Sportswear Classic Training Pants,Strive Sportswear,Sports & Outdoor,Training Pants,1190.0,0.461,Premium,False,False
SSW-0068,Strive Sportswear New Season Training Shoes,Strive Sportswear,Sports & Outdoor,Training Shoes,755.0,0.714,Mid-Market,False,False
SSW-0069,Strive Sportswear Everyday Sports Backpack,Strive Sportswear,Sports & Outdoor,Sports Backpack,664.0,0.385,Mid-Market,False,False
SSW-0070,Strive Sportswear Comfort Fit Down Jacket,Strive Sportswear,Sports & Outdoor,Down Jacket,378.0,0.653,Value,False,False
SSW-0071,Strive Sportswear Urban Shell Jacket,Strive Sportswear,Sports & Outdoor,Shell Jacket,483.0,0.362,Value,False,False
SSW-0072,Strive Sportswear Lumen Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,619.0,0.59,Mid-Market,False,False
SSW-0073,Strive Sportswear Breathable Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,483.0,0.786,Value,False,False
SSW-0074,Strive Sportswear GripPro Yoga Set,Strive Sportswear,Sports & Outdoor,Yoga Set,998.0,0.732,Premium,False,False
SSW-0075,Strive Sportswear CushionFlex Yoga Set,Strive Sportswear,Sports & Outdoor,Yoga Set,727.0,0.53,Mid-Market,False,False
SSW-0076,Strive Sportswear Trail Ready Hiking Shoes,Strive Sportswear,Sports & Outdoor,Hiking Shoes,271.0,0.455,Value,True,False
SSW-0077,Strive Sportswear Limited Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,507.0,0.562,Mid-Market,True,False
SSW-0078,Strive Sportswear Vintage Down Jacket,Strive Sportswear,Sports & Outdoor,Down Jacket,665.0,0.502,Mid-Market,False,False
SSW-0079,Strive Sportswear TechFeel Hiking Shoes,Strive Sportswear,Sports & Outdoor,Hiking Shoes,835.0,0.526,Mid-Market,True,False
SSW-0080,Strive Sportswear Durable Yoga Set,Strive Sportswear,Sports & Outdoor,Yoga Set,1179.0,0.538,Premium,False,False
SSW-0081,Strive Sportswear AirLite Outdoor Sandals,Strive Sportswear,Sports & Outdoor,Outdoor Sandals,1089.0,0.631,Premium,False,False
SSW-0082,Strive Sportswear Breeze Shell Jacket,Strive Sportswear,Sports & Outdoor,Shell Jacket,845.0,0.537,Mid-Market,True,False
SSW-0083,Strive Sportswear SunCore Sports Backpack,Strive Sportswear,Sports & Outdoor,Sports Backpack,803.0,0.446,Mid-Market,False,False
SSW-0084,Strive Sportswear Minimal Hiking Shoes,Strive Sportswear,Sports & Outdoor,Hiking Shoes,781.0,0.6,Mid-Market,True,False
SSW-0085,Strive Sportswear CloudSoft Quick-Dry Tee,Strive Sportswear,Sports & Outdoor,Quick-Dry Tee,629.0,0.836,Mid-Market,False,False
CMP-0001,CoreMotion Performance AirLite Yoga Set,CoreMotion Performance,Sports & Outdoor,Yoga Set,479.0,0.257,Mid-Market,False,False
CMP-0002,CoreMotion Performance Breeze Sports Backpack,CoreMotion Performance,Sports & Outdoor,Sports Backpack,538.0,0.88,Mid-Market,False,False
CMP-0003,CoreMotion Performance SunCore Outdoor Sandals,CoreMotion Performance,Sports & Outdoor,Outdoor Sandals,656.0,0.321,Premium,False,False
CMP-0004,CoreMotion Performance Minimal Down Jacket,CoreMotion Performance,Sports & Outdoor,Down Jacket,337.0,0.876,Value,False,False
CMP-0005,CoreMotion Performance CloudSoft Sports Backpack,CoreMotion Performance,Sports & Outdoor,Sports Backpack,199.0,0.767,Value,False,False
CMP-0006,CoreMotion Performance Featherweight Swimwear,CoreMotion Performance,Sports & Outdoor,Swimwear,373.0,0.796,Value,False,False
CMP-0007,CoreMotion Performance Classic Shell Jacket,CoreMotion Performance,Sports & Outdoor,Shell Jacket,593.0,0.652,Mid-Market,False,False
CMP-0008,CoreMotion Performance New Season Training Shoes,CoreMotion Performance,Sports & Outdoor,Training Shoes,732.0,0.797,Premium,False,False
CMP-0009,CoreMotion Performance Everyday Shell Jacket,CoreMotion Performance,Sports & Outdoor,Shell Jacket,297.0,0.812,Value,False,False
CMP-0010,CoreMotion Performance Comfort Fit Down Jacket,CoreMotion Performance,Sports & Outdoor,Down Jacket,164.0,0.673,Value,False,False
CMP-0011,CoreMotion Performance Urban Sports Backpack,CoreMotion Performance,Sports & Outdoor,Sports Backpack,637.0,0.752,Mid-Market,True,False
CMP-0012,CoreMotion Performance Lumen Swimwear,CoreMotion Performance,Sports & Outdoor,Swimwear,673.0,0.262,Premium,True,False
CMP-0013,CoreMotion Performance Breathable Training Shoes,CoreMotion Performance,Sports & Outdoor,Training Shoes,690.0,0.63,Premium,False,False
CMP-0014,CoreMotion Performance GripPro Shell Jacket,CoreMotion Performance,Sports & Outdoor,Shell Jacket,701.0,0.609,Premium,False,False
